Atoll,Locality,Population,Area (in sq km),MapLink,wat_Funding,wat_Phase,wat_Status,wat_Network (m),wat_Connections (nos),wat_Tanks (m3),sew_Funding,sew_Phase,sew_Status,sew_Network,sew_Connections,har_Funding,har_hase ,har_Status,har_Info,des_Funding,des_Phase ,des_Status,Proposed_for_funding,Ongoing_Harbor_Project,Urban_centers
Adh,Hangnameedhoo,484,0.2,,,,,,,,,,,,,,,,,,,,,,
Adh,Kuburudhoo,509,0.07,,,,,,,,,,,,,,,,,,,,,,
Adh,Maamigili,2798,1.91,,,,,,,,,,,,,,,,,,,,,,
Adh,Mahibadhoo,2580,0.24,,,,,,,,,,,,,,,,,,,,,,Yes
Adh,Mandhoo,418,0.39,,,,,,,,,,,,,,,,,,,,,,
Adh,Omadhoo,913,0.23,,,,,,,,,,,,,,,,,,,,,,
V,Felidhoo,620,0.16,,,,,,,,,,,,,,,,,,,,,,
V,Fulidhoo,400,0.12,,,,,,,,,,,,,,,,,,,,,,
V,Keyodhoo,641,0.12,,,,,,,,,,,,,,,,,,,,,,
V,Rakeedhoo,76,0.06,,,,,,,,,,,,,,,,,,,,,,
V,Thinadhoo,258,0.12,,,,,,,,,,,,,,,,,,,,Yes,,
M,Dhiggaru,1099,0.14,,,,,,,,,,,,,,,,,,,,,,
M,Kolhufushi,793,0.65,,,,,,,,,,,,,,,,,,,,,,
M,Maduvvari,318,0.12,,,,,,,,,,,,,,,,,,,,,,
M,Mulah,1426,0.68,,,,,,,,,,,,,,,,,,,,,,
M,Muli,949,0.77,,,,,,,,,,,,,,,,,,,,,,
M,Naalaafushi,430,0.13,,,,,,,,,,,,,,,,,,,,,,
M,Raimandhoo,171,0.28,,,,,,,,,,,,,,,,,,,,,,
M,Veyvah,304,0.42,,,,,,,,,,,,,,,,,,,,,,
F,Biledhdhoo,967,0.32,,,,,,,,,,,,,,,,,,,,,,
F,Dharaboodhoo,455,0.4,,,,,,,,,,,,,,,,,,,,,,
F,Feeali,922,0.18,,,,,,,,,,,,,,,,,,,,,,
F,Magoodhoo,702,0.25,,,,,,,,,,,,,,,,,,,,,,
F,Nilandhoo,1823,0.75,,,,,,,,,,,,,,,,,,,,,,Yes
Dh,Badidhoo,629,0.25,,,,,,,,,,,,,,,,,,,,,,
Dh,Hulhudheli,764,0.22,,,,,,,,,,,,,,,,,,,,,,
Dh,Kudahuvadhoo,3131,1.66,"2.672676177741172, 72.86818885097466",OFID,Phase 2,Completed,,,,,,Completed,,,GOV (PSIP),,In progress,4% progress. Awarded to MTCC,,,,Yes,,Yes
Dh,Maaeboodhoo,679,0.24,,,,,,,,,,,,,,,,,,,,,,
Dh,Meedhoo,1118,0.33,"2.9962079329846674, 73.01136442275012",EXIM (India),,Completed,,,,,,,,,GOV (PSIP),,In progress,0% progress. Awarded to MTCC,OFID,Phase 2,Completed,,,
Dh,Ribudhoo,316,0.17,,,,,,,,,,,,,,,,,,,,,,
Th,Buruni,414,0.34,,,,,,,,,,,,,,,,,,,,,,
Th,Dhiyamigili,649,0.29,,,,,,,,,,,,,,,,,,,,,,
Th,Gaadhiffushi,317,0.14,,,,,,,,,,,,,,,,,,,,,,
Th,Guraidhoo,1293,0.76,"2.324687083648542, 73.32345026739016",OFID,Phase 2,Completed,,,,,,,,,,,Completed,,,,,,,
Th,Hirilandhoo,1146,0.3,,,,,,,,,,,,,,,,,,,,,,
Th,Kadoodhoo,456,0.82,,,,,,,,,,,,,,,,,,,,,,
Th,Kibidhoo,715,0.38,,,,,,,,,,,,,,,,,,,,,,
Th,Madifushi,858,0.54,,,,,,,,,,,,,,,,,,,,,,
Th,Omadhoo,417,0.37,,,,,,,,,,,,,,,,,,,,,,
Th,Thimarafushi,1229,1,,,,,,,,,,,,,,,,,,,,,,
Th,Vandhoo,364,0.26,,,,,,,,,,,,,,,,,,,,,,
Th,Veymandoo,1321,0.45,,,,,,,,,,,,,,,,,,,,,,
Th,Vilufushi,1081,0.6,"2.5025012340804036, 73.30431526595225",OFID,Phase 2,Completed,,,,,,Completed,,,,,Completed,,,,,,,
L,Dhabidhoo,606,0.54,,,,,,,,,,,,,,,,,,,,,,
L,Fonadhoo,2986,1.72,,,,,,,,,,,,,,,,,,,,,,Yes
L,Gamu,4815,6.09,"1.9213223219411835, 73.54408030458323",EXIM (India),,Completed,,,,EXIM (India),,Completed,,,GOV (PSIP),,In progress,68% progress. Awarded to MTCC,OFID,Phase 2,Completed,,,
L,Hithadhoo,1108,1.05,,,,,,,,,,,,,,,,,,,,,,
L,Isdhoo,929,1.47,,,,,,,,,,,,,,,,,,,,,,
L,Kalaidhoo,655,2.13,,,,,,,,,,,,,,,,,,,,,,
L,Kunahandhoo,601,0.92,,,,,,,,,,,,,,,,,,,,,,
L,Maabaidhoo,565,0.53,,,,,,,,,,,,,,,,,,,,,,
L,Maamendhoo,879,0.22,,,,,,,,,,,,,,,,,,,,,,
L,Maavah,1379,0.4,,,,,,,,,,,,,,,,,,,,,,
L,Mundoo,176,0.24,,,,,,,,,,,,,,,,,,,,,,
GA,Dhaandhoo,1044,0.32,,,,,,,,,,,,,,,,,,,,,,
GA,Dhevvadhoo,599,0.23,,,,,,,,,,,,,,,,,,,,,,
GA,Gemanafushi,1318,0.57,,,,,,,,,,,,,,,,,,,,,,
GA,Kanduhulhudhoo,619,0.32,,,,,,,,,,,,,,,,,,,,,,
GA,Kodey,328,1.19,,,,,,,,,,,,,,,,,,,,,,
GA,Kolamaafushi,636,0.35,"0.8373744811435587, 73.1783471330664",OFID,Phase 1,Completed,8447,328,1315,OFID,Phase 1,Completed,7811,328,OFID,Phase 3,Completed,,,,,,,
GA,Maamendhoo,1201,0.52,,,,,,,,,,,,,,,,,,,,,,
GA,Nilandhoo,545,0.61,,,,,,,,,,,,,,,,,,,,,,
GA,Viligili,2900,1.11,"0.7540412970528821, 73.42971503812493",OFID,Phase 2,Completed,,,,,,,,,GOV (PSIP),,In progress,56% progress. Awarded to MTCC,,,,,,
GDh,Fares-Maathodaa,858,0.49,,,,,,,,,,,,,,,,,,,,,,
GDh,Fiyoari,637,0.81,"0.22179886202330198, 73.13512099471623",OFID,Phase 3,Completed,,,,OFID,Phase 3,Completed,,,GOV (PSIP),,In progress,26% progress. Awarded to MTCC,,,,Yes,,
GDh,Gadhdhoo,1414,0.59,"0.28761981433537354, 73.44987823827576",,,,,,,OFID,Phase 1,Completed,11253,553,GOV (PSIP),,In progress,74% progress. Awarded to MTCC,,,,,,
GDh,Hoadedhdhoo,885,1.11,"0.4527910304475165, 73.01232319137779",EXIM (India),,Completed,,,,EXIM (India),,Completed,,,OFID,Phase 3,Completed,,,,,,,
GDh,Madaveli,1219,0.47,,,,,,,,,,,,,,,,,,,,,,
GDh,Nadallaa,581,0.46,,,,,,,,,,,,,,,,,,,,,,
GDh,Rathafandhoo,431,0.41,,,,,,,,,,,,,,,,,,,,,,
GDh,Thinadhoo,6217,1.85,,,,,,,,,,,,,,,,,,,,,,
GDh,Vaadhoo,516,1.94,"0.22270996894574066, 73.27193664227002",OFID,Phase 3,Completed,,,,OFID,Phase 3,Completed,,,,,,,,,,,,
Gn,Fuvahmulah,9177,4.95,,,,,,,,,,,,,,,,,,,,,,
S,Feydhoo,4289,1.22,"-0.6826113010693362, 73.13208460868758",,,Completed,,,,OFID,Phase 2,Completed,,,GOV (PSIP),,In progress,0% progress. Awarded to MTCC,,,,Yes,,
S,Hithadhoo,13759,5.51,,,,,,,,,,,,,,,,,,,,,,
S,Hulhudhoo,1182,1.35,"-0.5928506043732992, 73.22781507933192",,,Completed,,,,OFID,Phase 2,Completed,,,GOV (PSIP),,Completed,,,,,,,
S,Maradhoo,2542,0.6,"-0.6652610500096788, 73.11932996125823",,,Completed,,,,OFID,Phase 2,Completed,,,,,,,,,,,,
S,Maradhoo-Feydhoo,1398,0.34,"-0.6735803857323713, 73.12145830874488",,,Completed,,,,OFID,Phase 2,Completed,,,,,,,,,,,,
S,Meedhoo,1892,1.88,"-0.5827910318399934, 73.23228872584576",,,Completed,,,,OFID,Phase 2,Completed,,,GOV (PSIP),,Completed,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
"
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
